Section_code,Division_code,Group_code,Class_code,Item_code,,,,,,Section_name,Division_name,Group_name,Class_name,Item_name
SECTION A,02,020,0200,02000,1,1,1,,,AGRICULTURE AND FISHING,"FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES","FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES","Forestry, Logging and Related Service Activities","Forestry, logging and related service activities"
SECTION A,03,031,0310,03101,1,1,1,,,AGRICULTURE AND FISHING,"FISHING, OPERATION OF FISH HATCHERIES AND FISH FARMS; SERVICE ACTIVITIES INCIDENTAL TO FISHING",FISHING,Fishing,Fishing in kelongs
SECTION A,03,031,0310,03102,1,1,1,,,AGRICULTURE AND FISHING,"FISHING, OPERATION OF FISH HATCHERIES AND FISH FARMS; SERVICE ACTIVITIES INCIDENTAL TO FISHING",FISHING,Fishing,Ocean fishing except fishing in kelongs
SECTION A,03,031,0310,03103,1,1,1,,,AGRICULTURE AND FISHING,"FISHING, OPERATION OF FISH HATCHERIES AND FISH FARMS; SERVICE ACTIVITIES INCIDENTAL TO FISHING",FISHING,Fishing,Coastal fishing except fishing in kelongs
SECTION A,03,031,0310,03109,1,1,1,,,AGRICULTURE AND FISHING,"FISHING, OPERATION OF FISH HATCHERIES AND FISH FARMS; SERVICE ACTIVITIES INCIDENTAL TO FISHING",FISHING,Fishing,Fishing n.e.c.
SECTION A,03,032,0320,03201,1,1,1,,,AGRICULTURE AND FISHING,"FISHING, OPERATION OF FISH HATCHERIES AND FISH FARMS; SERVICE ACTIVITIES INCIDENTAL TO FISHING",OPERATION OF FISH HATCHERIES AND FISH FARMS,Fish Farming,Food fish farms
SECTION A,03,032,0320,03202,1,1,1,,,AGRICULTURE AND FISHING,"FISHING, OPERATION OF FISH HATCHERIES AND FISH FARMS; SERVICE ACTIVITIES INCIDENTAL TO FISHING",OPERATION OF FISH HATCHERIES AND FISH FARMS,Fish Farming,Ornamental fish farms
SECTION A,03,032,0320,03209,1,1,1,,,AGRICULTURE AND FISHING,"FISHING, OPERATION OF FISH HATCHERIES AND FISH FARMS; SERVICE ACTIVITIES INCIDENTAL TO FISHING",OPERATION OF FISH HATCHERIES AND FISH FARMS,Fish Farming,"Operation of fish hatcheries and fish farms n.e.c. (including turtle, prawn, crab, mussel farms)"
SECTION A,03,033,0330,03301,1,1,1,,,AGRICULTURE AND FISHING,"FISHING, OPERATION OF FISH HATCHERIES AND FISH FARMS; SERVICE ACTIVITIES INCIDENTAL TO FISHING",SERVICE ACTIVITIES INCIDENTAL TO FISHING,Service Activities Incidental to Fishing,Fishery research services (including experimentation and culture)
SECTION A,03,033,0330,03309,1,1,1,,,AGRICULTURE AND FISHING,"FISHING, OPERATION OF FISH HATCHERIES AND FISH FARMS; SERVICE ACTIVITIES INCIDENTAL TO FISHING",SERVICE ACTIVITIES INCIDENTAL TO FISHING,Service Activities Incidental to Fishing,Service activities incidental to fishing n.e.c.
SECTION B,08,081,0810,08101,1,1,1,,,MINING AND QUARRYING,MINING AND QUARRYING,"QUARRYING OF STONE, SAND AND CLAY","Quarrying of Stone, Sand and Clay",Stone quarrying
SECTION B,08,081,0810,08102,1,1,1,,,MINING AND QUARRYING,MINING AND QUARRYING,"QUARRYING OF STONE, SAND AND CLAY","Quarrying of Stone, Sand and Clay",Quarrying of sand and clay
SECTION B,08,089,0890,08900,1,1,1,,,MINING AND QUARRYING,MINING AND QUARRYING,OTHER MINING AND QUARRYING,Other Mining and Quarrying,Other mining and quarrying
